Goodreads import: 539 eligible (≥4★, read, not on site). Birth year 1980. Limit 100.
+ Hunting Adeline (Cat and Mouse, #2) | dark-thriller | read 2026-04-30 (goodreads)
+ Truly, Madly, Deeply | dark-thriller | read 2011-04-08 (goodreads)
+ Great Expectations | gothic-horror-romance | read 1996-05-15 (school-grade)
+ A Wrinkle in Time (Time Quintet, #1) | fantasy-romance | read 1996-05-15 (school-grade)
+ Inkdeath (Inkworld, #3) | gothic-horror-romance | read 2011-03-17 (goodreads)
+ Southern Mail | dark-thriller | read 1996-05-15 (school-grade)
+ Journey to the Center of the Earth | gothic-horror-romance | read 1994-05-15 (school-grade)
+ Inkspell (Inkworld, #2) | fantasy-romance | read 2011-03-13 (goodreads)
+ Where the Sidewalk Ends | gothic-horror-romance | read 1996-05-15 (school-grade)
+ Inkheart (Inkworld, #1) | gothic-horror-romance | read 2011-03-10 (goodreads)
+ Where the Wild Things Are | gothic-horror-romance | read 1987-06-15 (school-grade)
+ Persuasion | gothic-horror-romance | read 1997-05-15 (school-grade)
+ A Midsummer Night’s Dream | gothic-horror-romance | read 1996-05-15 (school-grade)
+ The Hitchhiker's Guide to the Galaxy (Hitchhiker's | dark-thriller | read 1996-05-15 (school-grade)
+ Jane Eyre | gothic-horror-romance | read 1996-05-15 (school-grade)
+ The Princess Bride | fantasy-romance | read 1996-05-15 (school-grade)
+ The Arabian Nights (Illustrated Junior Library) | gothic-horror-romance | read 1996-05-15 (school-grade)
+ A Tale of Two Cities | dark-thriller | read 1996-05-15 (school-grade)
+ Of Mice and Men | dark-thriller | read 1995-05-15 (school-grade)
+ Les Misérables | gothic-horror-romance | read 1996-05-15 (school-grade)
+ The Da Vinci Code (Robert Langdon, #2) | dark-thriller | read 2011-01-18 (goodreads)
+ The Informationist (Vanessa Michael Munroe, #1) | dark-thriller | read 2011-01-16 (goodreads)
+ The Odyssey | gothic-horror-romance | read 2011-01-14 (goodreads)
+ Wind, Sand and Stars | dark-thriller | read 1996-05-15 (school-grade)
+ Broken | dark-thriller | read 2011-01-08 (goodreads)
+ Romeo and Juliet | forbidden-love | read 1995-05-15 (school-grade)
+ The Neverending Story | fantasy-romance | read 1996-05-15 (school-grade)
+ The Catcher in the Rye | dark-thriller | read 1997-05-15 (school-grade)
+ Wuthering Heights | gothic-horror-romance | read 1996-05-15 (school-grade)
+ The Picture of Dorian Gray | gothic-horror-romance | read 1996-05-15 (school-grade)
+ Little Women (Little Women, #1) | forbidden-love | read 1996-05-15 (school-grade)
+ Where the Red Fern Grows | dark-thriller | read 1996-05-15 (school-grade)
+ The Secret Garden | gothic-horror-romance | read 1996-05-15 (school-grade)
+ The Diary of a Young Girl | dark-thriller | read 1996-05-15 (school-grade)
+ Charlie and the Chocolate Factory | gothic-horror-romance | read 1996-05-15 (school-grade)
+ Alice’s Adventures in Wonderland / Through the Loo | gothic-horror-romance | read 1996-05-15 (school-grade)
+ The Wonderful Wizard of Oz (Oz, #1) | gothic-horror-romance | read 1996-05-15 (school-grade)
+ Charlotte’s Web | dark-thriller | read 1989-05-15 (school-grade)
+ How the Grinch Stole Christmas! | gothic-horror-romance | read 1996-05-15 (school-grade)
+ Green Eggs and Ham | gothic-horror-romance | read 1996-05-15 (school-grade)
+ Fifty Shades Freed: Book Three of the Fifty Shades | dark-billionaire | read null (pipeline)
+ The Scorch Trials[SCORCH TRIALS][Paperback] | dark-thriller | read null (pipeline)
+ The Awakening | gothic-horror-romance | read 1997-05-15 (school-grade)
+ Atonement | dark-thriller | read null (pipeline)
